_id,id,stat,data.x,data.y,data.color
5fc21f6e9b4fbb2f9077167b,0,true,0,0,#e66465
5fc21f7d9b4fbb2f9077167c,1,true,0,0,#ffffff
5fc22e349b4fbb2f9077167d,2,true,10,10,#000000
5fc22e419b4fbb2f9077167e,3,true,11,10,#000000
5fc22e479b4fbb2f9077167f,4,true,12,10,#000000
5fc22e4e9b4fbb2f90771680,5,true,13,10,#000000
5fc22e549b4fbb2f90771681,6,true,14,10,#000000
5fc22e5b9b4fbb2f90771682,7,true,14,11,#000000
5fc22e659b4fbb2f90771683,8,true,14,12,#000000
5fc22e6b9b4fbb2f90771684,9,true,14,13,#000000
5fc22e739b4fbb2f90771685,10,true,14,14,#000000
5fc22e889b4fbb2f90771686,11,true,14,9,#000000
5fc22e8f9b4fbb2f90771687,12,true,14,8,#000000
5fc22e959b4fbb2f90771688,13,true,14,7,#000000
5fc22e9b9b4fbb2f90771689,14,true,14,6,#000000
5fc22ea69b4fbb2f9077168a,15,true,15,10,#000000
5fc22eac9b4fbb2f9077168b,16,true,16,10,#000000
5fc22eb29b4fbb2f9077168c,17,true,17,10,#000000
5fc22eb89b4fbb2f9077168d,18,true,18,10,#000000
5fc22ece9b4fbb2f9077168e,19,true,18,10,#ffffff
5fc22ed59b4fbb2f9077168f,20,true,18,10,#000000
5fc22fc49b4fbb2f90771690,21,true,0,0,#000000
5fc22fd19b4fbb2f90771691,22,true,0,0,#f5e0ee
5fc22fd79b4fbb2f90771692,23,true,0,0,#f2d9ea
5fc22fde9b4fbb2f90771693,24,true,1,0,#f2d9ea
5fc22fe49b4fbb2f90771694,25,true,2,0,#f2d9ea
5fc22fea9b4fbb2f90771695,26,true,2,0,#ffd6f2
5fc22ff19b4fbb2f90771696,27,true,3,0,#ffd6f2
5fc22ff99b4fbb2f90771697,28,true,4,0,#ffd6f2
5fc230029b4fbb2f90771698,29,true,5,0,#ffd6f2
5fc230099b4fbb2f90771699,30,true,5,0,#ffccef
5fc2300f9b4fbb2f9077169a,31,true,6,0,#ffccef
5fc230229b4fbb2f9077169b,32,true,6,0,#c360a3
5fc2302f9b4fbb2f9077169c,33,true,6,0,#a860c3
5fc230719b4fbb2f9077169d,34,true,6,0,#efd9f7
5fc230839b4fbb2f9077169e,35,true,6,0,#a860c3
5fc2308b9b4fbb2f9077169f,36,true,7,0,#e1c0ed
5fc230969b4fbb2f907716a0,37,true,7,0,#f3e9f7
5fc230a09b4fbb2f907716a1,38,true,8,0,#e6c2f5
5fc230b89b4fbb2f907716a2,39,true,9,0,#a860c3
5fc230d09b4fbb2f907716a3,40,true,10,0,#ebc1fb
5fc230d59b4fbb2f907716a4,41,true,11,0,#ebc1fb
5fc230db9b4fbb2f907716a5,42,true,12,0,#ebc1fb
5fc230f49b4fbb2f907716a6,43,true,13,0,#ebc1fb
5fc230fa9b4fbb2f907716a7,44,true,14,0,#ebc1fb
5fc231019b4fbb2f907716a8,45,true,15,0,#ebc1fb
5fc231079b4fbb2f907716a9,46,true,16,0,#ebc1fb
5fc2310d9b4fbb2f907716aa,47,true,17,0,#ebc1fb
5fc231229b4fbb2f907716ab,48,true,18,0,#ebc1fb
5fc2312e9b4fbb2f907716ac,49,true,19,0,#e1abf7
5fc231379b4fbb2f907716ad,50,true,20,0,#e1abf7
5fc231609b4fbb2f907716ae,51,true,21,0,#e1abf7
5fc2317b9b4fbb2f907716af,52,true,21,0,#e1abf7
5fc231899b4fbb2f907716b0,53,true,21,0,#e49eff
5fc231959b4fbb2f907716b1,54,true,22,0,#e49eff
5fc231a99b4fbb2f907716b2,55,true,23,0,#a860c3
5fc231c09b4fbb2f907716b3,56,true,24,0,#e9adff
5fc231c79b4fbb2f907716b4,57,true,25,0,#e9adff
5fc231d59b4fbb2f907716b5,58,true,26,0,#efc2ff
5fc231e29b4fbb2f907716b6,59,true,27,0,#f4d6ff
5fc231ea9b4fbb2f907716b7,60,true,28,0,#f4d6ff
5fc231f19b4fbb2f907716b8,61,true,29,0,#f4d6ff
5fc232339b4fbb2f907716b9,62,true,29,0,#f4d6ff
